カラム種類,カラム名,データ源
その他カラム,シューズボックス,元データ
その他カラム,タイル張り,元データ
その他カラム,トランクルーム,元データ
その他カラム,バリアフリー,元データ
その他カラム,バルコニー,元データ
その他カラム,フローリング,元データ
その他カラム,プロパンガス,元データ
その他カラム,ペアガラス,元データ
その他カラム,ルーフバルコニー,元データ
その他カラム,ロフト付き,元データ
その他カラム,下水,元データ
その他カラム,二世帯住宅,元データ
その他カラム,二重サッシ,元データ
その他カラム,井戸,元データ
その他カラム,公営水道,元データ
その他カラム,冷房,元データ
その他カラム,出窓,元データ
その他カラム,地下室,元データ
その他カラム,室内洗濯機置場,元データ
その他カラム,室外洗濯機置場,元データ
その他カラム,専用庭,元データ
その他カラム,床下収納,元データ
その他カラム,床暖房,元データ
その他カラム,排水その他,元データ
その他カラム,敷地内ごみ置き場,元データ
その他カラム,水道その他,元データ
その他カラム,汲み取り,元データ
その他カラム,洗濯機置場なし,元データ
その他カラム,浄化槽,元データ
その他カラム,石油暖房,元データ
その他カラム,都市ガス,元データ
その他カラム,防音室,元データ
その他カラム,IHコンロ,元データ
その他カラム,L字キッチン,元データ
その他カラム,カウンターキッチン,元データ
その他カラム,ガスコンロ,元データ
その他カラム,コンロ1口,元データ
その他カラム,コンロ2口,元データ
その他カラム,コンロ3口,元データ
その他カラム,コンロ4口以上,元データ
その他カラム,コンロ設置可(コンロ1口),元データ
その他カラム,コンロ設置可(コンロ2口),元データ
その他カラム,コンロ設置可(コンロ3口),元データ
その他カラム,コンロ設置可(コンロ4口以上),元データ
その他カラム,コンロ設置可(口数不明),元データ
その他カラム,システムキッチン,元データ
その他カラム,冷蔵庫あり,元データ
その他カラム,独立キッチン,元データ
その他カラム,給湯,元データ
その他カラム,電気コンロ,元データ
その他カラム,BSアンテナ,元データ
その他カラム,CATV,元データ
その他カラム,CSアンテナ,元データ
その他カラム,インターネット使用料無料,元データ
その他カラム,インターネット対応,元データ
その他カラム,光ファイバー,元データ
その他カラム,有線放送,元データ
その他カラム,高速インターネット,元データ
その他カラム,徒歩_time1,元データ
その他カラム,徒歩_time2,元データ
その他カラム,徒歩_time3,元データ
その他カラム,lat,google map api
その他カラム,lng,google map api
その他カラム,池袋駅_距離,google map api
その他カラム,東京駅_距離,google map api
その他カラム,渋谷駅_距離,google map api
その他カラム,品川駅_距離,google map api
その他カラム,新宿駅_距離,google map api
その他カラム,北千住駅_距離,google map api
その他カラム,上野駅_距離,google map api
その他カラム,港区_距離,google map api
その他カラム,meshcode,データから作成
その他カラム,凶悪犯,犯罪データ
その他カラム,粗暴犯,犯罪データ
その他カラム,侵入窃盗,犯罪データ
その他カラム,非侵入窃盗,犯罪データ
その他カラム,その他,犯罪データ
その他カラム,公示価格,公示地価
その他カラム,調査価格_4,公示地価
その他カラム,調査価格_3,公示地価
その他カラム,調査価格_2,公示地価
その他カラム,調査価格_1,公示地価
その他カラム,山手線平均距離,google map api
その他カラム,age_log,データから作成
その他カラム,age_round_log,データから作成
その他カラム,部屋数_log,データから作成
その他カラム,area_log,データから作成
その他カラム,area_round_log,データから作成
その他カラム,keiyaku_length_log,データから作成
その他カラム,floor_log,データから作成
その他カラム,all_floor_log,データから作成
その他カラム,【クリーニング】_log,データから作成
その他カラム,【コインパーキング】_log,データから作成
その他カラム,【コンビニ】_log,データから作成
その他カラム,【スーパー】_log,データから作成
その他カラム,【デパート】_log,データから作成
その他カラム,【ドラッグストア】_log,データから作成
その他カラム,【レンタルビデオ】_log,データから作成
その他カラム,【公園】_log,データから作成
その他カラム,【図書館】_log,データから作成
その他カラム,【大学】_log,データから作成
その他カラム,【学校】_log,データから作成
その他カラム,【小学校】_log,データから作成
その他カラム,【幼稚園・保育園】_log,データから作成
その他カラム,【月極駐車場】_log,データから作成
その他カラム,【病院】_log,データから作成
その他カラム,【総合病院】_log,データから作成
その他カラム,【郵便局】_log,データから作成
その他カラム,【銀行】_log,データから作成
その他カラム,【飲食店】_log,データから作成
その他カラム,徒歩_time1_log,データから作成
その他カラム,徒歩_time2_log,データから作成
その他カラム,徒歩_time3_log,データから作成
その他カラム,池袋駅_距離_log,データから作成
その他カラム,東京駅_距離_log,データから作成
その他カラム,渋谷駅_距離_log,データから作成
その他カラム,品川駅_距離_log,データから作成
その他カラム,新宿駅_距離_log,データから作成
その他カラム,北千住駅_距離_log,データから作成
その他カラム,上野駅_距離_log,データから作成
その他カラム,港区_距離_log,データから作成
その他カラム,meshcode_log,データから作成
その他カラム,凶悪犯_log,データから作成
その他カラム,粗暴犯_log,データから作成
その他カラム,侵入窃盗_log,データから作成
その他カラム,非侵入窃盗_log,データから作成
その他カラム,その他_log,データから作成
その他カラム,公示価格_log,データから作成
その他カラム,調査価格_4_log,データから作成
その他カラム,調査価格_3_log,データから作成
その他カラム,調査価格_2_log,データから作成
その他カラム,調査価格_1_log,データから作成
その他カラム,山手線平均距離_log,データから作成
その他カラム,公示価格/面積,データから作成
その他カラム,面積/部屋数,データから作成
その他カラム,高さ率,データから作成
その他カラム,面積*高さ,データから作成
その他カラム,間取り,データから作成
その他カラム,mean_age_建物構造,データから作成
その他カラム,mean_area_建物構造,データから作成
その他カラム,mean_all_floor_建物構造,データから作成
その他カラム,area_平均倍率_建物構造,データから作成
その他カラム,area_平均差分_建物構造,データから作成
その他カラム,age_平均倍率_建物構造,データから作成
その他カラム,age_平均差分_建物構造,データから作成
その他カラム,all_floor_平均倍率_建物構造,データから作成
その他カラム,all_floor_平均差分_建物構造,データから作成
その他カラム,area_平均倍率_建物構造_mean,データから作成
その他カラム,area_平均倍率_建物構造_median,データから作成
その他カラム,area_平均倍率_建物構造_min,データから作成
その他カラム,area_平均倍率_建物構造_max,データから作成
その他カラム,area_平均倍率_建物構造_std,データから作成
その他カラム,area_平均倍率_建物構造_skew,データから作成
その他カラム,area_平均差分_建物構造_mean,データから作成
その他カラム,area_平均差分_建物構造_median,データから作成
その他カラム,area_平均差分_建物構造_min,データから作成
その他カラム,area_平均差分_建物構造_max,データから作成
その他カラム,area_平均差分_建物構造_std,データから作成
その他カラム,area_平均差分_建物構造_skew,データから作成
その他カラム,age_平均倍率_建物構造_mean,データから作成
その他カラム,age_平均倍率_建物構造_median,データから作成
その他カラム,age_平均倍率_建物構造_min,データから作成
その他カラム,age_平均倍率_建物構造_max,データから作成
その他カラム,age_平均倍率_建物構造_std,データから作成
その他カラム,age_平均倍率_建物構造_skew,データから作成
その他カラム,age_平均差分_建物構造_mean,データから作成
その他カラム,age_平均差分_建物構造_median,データから作成
その他カラム,age_平均差分_建物構造_min,データから作成
その他カラム,age_平均差分_建物構造_max,データから作成
その他カラム,age_平均差分_建物構造_std,データから作成
その他カラム,age_平均差分_建物構造_skew,データから作成
その他カラム,all_floor_平均倍率_建物構造_mean,データから作成
その他カラム,all_floor_平均倍率_建物構造_median,データから作成
その他カラム,all_floor_平均倍率_建物構造_min,データから作成
その他カラム,all_floor_平均倍率_建物構造_max,データから作成
その他カラム,all_floor_平均倍率_建物構造_std,データから作成
その他カラム,all_floor_平均倍率_建物構造_skew,データから作成
その他カラム,all_floor_平均差分_建物構造_mean,データから作成
その他カラム,all_floor_平均差分_建物構造_median,データから作成
その他カラム,all_floor_平均差分_建物構造_min,データから作成
その他カラム,all_floor_平均差分_建物構造_max,データから作成
その他カラム,all_floor_平均差分_建物構造_std,データから作成
その他カラム,all_floor_平均差分_建物構造_skew,データから作成
その他カラム,mean_age_区,データから作成
その他カラム,mean_area_区,データから作成
その他カラム,mean_all_floor_区,データから作成
その他カラム,area_平均倍率_区,データから作成
その他カラム,area_平均差分_区,データから作成
その他カラム,age_平均倍率_区,データから作成
その他カラム,age_平均差分_区,データから作成
その他カラム,all_floor_平均倍率_区,データから作成
その他カラム,all_floor_平均差分_区,データから作成
その他カラム,area_平均倍率_区_mean,データから作成
その他カラム,area_平均倍率_区_median,データから作成
その他カラム,area_平均倍率_区_min,データから作成
その他カラム,area_平均倍率_区_max,データから作成
その他カラム,area_平均倍率_区_std,データから作成
その他カラム,area_平均倍率_区_skew,データから作成
その他カラム,area_平均差分_区_mean,データから作成
その他カラム,area_平均差分_区_median,データから作成
その他カラム,area_平均差分_区_min,データから作成
その他カラム,area_平均差分_区_max,データから作成
その他カラム,area_平均差分_区_std,データから作成
その他カラム,area_平均差分_区_skew,データから作成
その他カラム,age_平均倍率_区_mean,データから作成
その他カラム,age_平均倍率_区_median,データから作成
その他カラム,age_平均倍率_区_min,データから作成
その他カラム,age_平均倍率_区_max,データから作成
その他カラム,age_平均倍率_区_std,データから作成
その他カラム,age_平均倍率_区_skew,データから作成
その他カラム,age_平均差分_区_mean,データから作成
その他カラム,age_平均差分_区_median,データから作成
その他カラム,age_平均差分_区_min,データから作成
その他カラム,age_平均差分_区_max,データから作成
その他カラム,age_平均差分_区_std,データから作成
その他カラム,age_平均差分_区_skew,データから作成
その他カラム,all_floor_平均倍率_区_mean,データから作成
その他カラム,all_floor_平均倍率_区_median,データから作成
その他カラム,all_floor_平均倍率_区_min,データから作成
その他カラム,all_floor_平均倍率_区_max,データから作成
その他カラム,all_floor_平均倍率_区_std,データから作成
その他カラム,all_floor_平均倍率_区_skew,データから作成
その他カラム,all_floor_平均差分_区_mean,データから作成
その他カラム,all_floor_平均差分_区_median,データから作成
その他カラム,all_floor_平均差分_区_min,データから作成
その他カラム,all_floor_平均差分_区_max,データから作成
その他カラム,all_floor_平均差分_区_std,データから作成
その他カラム,all_floor_平均差分_区_skew,データから作成
その他カラム,mean_age_丁目,データから作成
その他カラム,mean_area_丁目,データから作成
その他カラム,mean_all_floor_丁目,データから作成
その他カラム,area_平均倍率_丁目,データから作成
その他カラム,area_平均差分_丁目,データから作成
その他カラム,age_平均倍率_丁目,データから作成
その他カラム,age_平均差分_丁目,データから作成
その他カラム,all_floor_平均倍率_丁目,データから作成
その他カラム,all_floor_平均差分_丁目,データから作成
その他カラム,area_平均倍率_丁目_mean,データから作成
その他カラム,area_平均倍率_丁目_median,データから作成
その他カラム,area_平均倍率_丁目_min,データから作成
その他カラム,area_平均倍率_丁目_max,データから作成
その他カラム,area_平均倍率_丁目_std,データから作成
その他カラム,area_平均倍率_丁目_skew,データから作成
その他カラム,area_平均差分_丁目_mean,データから作成
その他カラム,area_平均差分_丁目_median,データから作成
その他カラム,area_平均差分_丁目_min,データから作成
その他カラム,area_平均差分_丁目_max,データから作成
その他カラム,area_平均差分_丁目_std,データから作成
その他カラム,area_平均差分_丁目_skew,データから作成
その他カラム,age_平均倍率_丁目_mean,データから作成
その他カラム,age_平均倍率_丁目_median,データから作成
その他カラム,age_平均倍率_丁目_min,データから作成
その他カラム,age_平均倍率_丁目_max,データから作成
その他カラム,age_平均倍率_丁目_std,データから作成
その他カラム,age_平均倍率_丁目_skew,データから作成
その他カラム,age_平均差分_丁目_mean,データから作成
その他カラム,age_平均差分_丁目_median,データから作成
その他カラム,age_平均差分_丁目_min,データから作成
その他カラム,age_平均差分_丁目_max,データから作成
その他カラム,age_平均差分_丁目_std,データから作成
その他カラム,age_平均差分_丁目_skew,データから作成
その他カラム,all_floor_平均倍率_丁目_mean,データから作成
その他カラム,all_floor_平均倍率_丁目_median,データから作成
その他カラム,all_floor_平均倍率_丁目_min,データから作成
その他カラム,all_floor_平均倍率_丁目_max,データから作成
その他カラム,all_floor_平均倍率_丁目_std,データから作成
その他カラム,all_floor_平均倍率_丁目_skew,データから作成
その他カラム,all_floor_平均差分_丁目_mean,データから作成
その他カラム,all_floor_平均差分_丁目_median,データから作成
その他カラム,all_floor_平均差分_丁目_min,データから作成
その他カラム,all_floor_平均差分_丁目_max,データから作成
その他カラム,all_floor_平均差分_丁目_std,データから作成
その他カラム,all_floor_平均差分_丁目_skew,データから作成
その他カラム,mean_age_間取り,データから作成
その他カラム,mean_area_間取り,データから作成
その他カラム,mean_all_floor_間取り,データから作成
その他カラム,area_平均倍率_間取り,データから作成
その他カラム,area_平均差分_間取り,データから作成
その他カラム,age_平均倍率_間取り,データから作成
その他カラム,age_平均差分_間取り,データから作成
その他カラム,all_floor_平均倍率_間取り,データから作成
その他カラム,all_floor_平均差分_間取り,データから作成
その他カラム,area_平均倍率_間取り_mean,データから作成
その他カラム,area_平均倍率_間取り_median,データから作成
その他カラム,area_平均倍率_間取り_min,データから作成
その他カラム,area_平均倍率_間取り_max,データから作成
その他カラム,area_平均倍率_間取り_std,データから作成
その他カラム,area_平均倍率_間取り_skew,データから作成
その他カラム,area_平均差分_間取り_mean,データから作成
その他カラム,area_平均差分_間取り_median,データから作成
その他カラム,area_平均差分_間取り_min,データから作成
その他カラム,area_平均差分_間取り_max,データから作成
その他カラム,area_平均差分_間取り_std,データから作成
その他カラム,area_平均差分_間取り_skew,データから作成
その他カラム,age_平均倍率_間取り_mean,データから作成
その他カラム,age_平均倍率_間取り_median,データから作成
その他カラム,age_平均倍率_間取り_min,データから作成
その他カラム,age_平均倍率_間取り_max,データから作成
その他カラム,age_平均倍率_間取り_std,データから作成
その他カラム,age_平均倍率_間取り_skew,データから作成
その他カラム,age_平均差分_間取り_mean,データから作成
その他カラム,age_平均差分_間取り_median,データから作成
その他カラム,age_平均差分_間取り_min,データから作成
その他カラム,age_平均差分_間取り_max,データから作成
その他カラム,age_平均差分_間取り_std,データから作成
その他カラム,age_平均差分_間取り_skew,データから作成
その他カラム,all_floor_平均倍率_間取り_mean,データから作成
その他カラム,all_floor_平均倍率_間取り_median,データから作成
その他カラム,all_floor_平均倍率_間取り_min,データから作成
その他カラム,all_floor_平均倍率_間取り_max,データから作成
その他カラム,all_floor_平均倍率_間取り_std,データから作成
その他カラム,all_floor_平均倍率_間取り_skew,データから作成
その他カラム,all_floor_平均差分_間取り_mean,データから作成
その他カラム,all_floor_平均差分_間取り_median,データから作成
その他カラム,all_floor_平均差分_間取り_min,データから作成
その他カラム,all_floor_平均差分_間取り_max,データから作成
その他カラム,all_floor_平均差分_間取り_std,データから作成
その他カラム,all_floor_平均差分_間取り_skew,データから作成
その他カラム,駅名,元データから最寄り駅
その他カラム,乗降客数2019,駅乗降客数
その他カラム,乗降客数2018,駅乗降客数
その他カラム,東京スカイツリー_距離,google map api
その他カラム,東京タワー_距離,google map api
その他カラム,雷門_距離,google map api
その他カラム,表参道ヒルズ_距離,google map api
その他カラム,渋谷スクランブルスクエア_距離,google map api
その他カラム,東京ドーム_距離,google map api
その他カラム,銀座_距離,google map api
その他カラム,池袋サンシャインシティー_距離,google map api
その他カラム,日本武道館_距離,google map api
その他カラム,皇居_距離,google map api
その他カラム,赤坂サカス_距離,google map api
その他カラム,虎ノ門ヒルズ_距離,google map api
その他カラム,調布パルコ_距離,google map api
その他カラム,最寄り駅までの距離,google map api
その他カラム,mean_age_町,データから作成
その他カラム,mean_area_町,データから作成
その他カラム,mean_all_floor_町,データから作成
その他カラム,area_平均倍率_町,データから作成
その他カラム,area_平均差分_町,データから作成
その他カラム,age_平均倍率_町,データから作成
その他カラム,age_平均差分_町,データから作成
その他カラム,all_floor_平均倍率_町,データから作成
その他カラム,all_floor_平均差分_町,データから作成
その他カラム,area_平均倍率_町_mean,データから作成
その他カラム,area_平均倍率_町_median,データから作成
その他カラム,area_平均倍率_町_min,データから作成
その他カラム,area_平均倍率_町_max,データから作成
その他カラム,area_平均倍率_町_std,データから作成
その他カラム,area_平均倍率_町_skew,データから作成
その他カラム,area_平均差分_町_mean,データから作成
その他カラム,area_平均差分_町_median,データから作成
その他カラム,area_平均差分_町_min,データから作成
その他カラム,area_平均差分_町_max,データから作成
その他カラム,area_平均差分_町_std,データから作成
その他カラム,area_平均差分_町_skew,データから作成
その他カラム,age_平均倍率_町_mean,データから作成
その他カラム,age_平均倍率_町_median,データから作成
その他カラム,age_平均倍率_町_min,データから作成
その他カラム,age_平均倍率_町_max,データから作成
その他カラム,age_平均倍率_町_std,データから作成
その他カラム,age_平均倍率_町_skew,データから作成
その他カラム,age_平均差分_町_mean,データから作成
その他カラム,age_平均差分_町_median,データから作成
その他カラム,age_平均差分_町_min,データから作成
その他カラム,age_平均差分_町_max,データから作成
その他カラム,age_平均差分_町_std,データから作成
その他カラム,age_平均差分_町_skew,データから作成
その他カラム,all_floor_平均倍率_町_mean,データから作成
その他カラム,all_floor_平均倍率_町_median,データから作成
その他カラム,all_floor_平均倍率_町_min,データから作成
その他カラム,all_floor_平均倍率_町_max,データから作成
その他カラム,all_floor_平均倍率_町_std,データから作成
その他カラム,all_floor_平均倍率_町_skew,データから作成
その他カラム,all_floor_平均差分_町_mean,データから作成
その他カラム,all_floor_平均差分_町_median,データから作成
その他カラム,all_floor_平均差分_町_min,データから作成
その他カラム,all_floor_平均差分_町_max,データから作成
その他カラム,all_floor_平均差分_町_std,データから作成
その他カラム,all_floor_平均差分_町_skew,データから作成
その他カラム,方角_賃料mean,データから作成
その他カラム,建物構造_賃料mean,データから作成
その他カラム,区_賃料mean,データから作成
その他カラム,railway_賃料mean,データから作成
その他カラム,駅名_賃料mean,データから作成
その他カラム,町_賃料mean,データから作成
